Ref,Val,Package,PosX,PosY,Rot,Side
"D1","1N4148W","D_SOD-123",136.555531,-70.646545,-97.000000,top
"D2","1N4148W","D_SOD-123",133.798112,-70.307977,-97.000000,top
"D3","1N4148W","D_SOD-123",131.040694,-69.969408,-97.000000,top
"D4","1N4148W","D_SOD-123",128.283276,-69.630840,-97.000000,top
"D5","1N4148W","D_SOD-123",125.525858,-69.292271,-97.000000,top
"D6","1N4148W","D_SOD-123",152.285997,-69.280084,-83.000000,top
"D7","1N4148W","D_SOD-123",149.528579,-69.618653,-83.000000,top
"D8","1N4148W","D_SOD-123",146.771161,-69.957221,-83.000000,top
"D9","1N4148W","D_SOD-123",144.013742,-70.295790,-83.000000,top
"D10","1N4148W","D_SOD-123",141.256324,-70.634358,-83.000000,top
"D11","1N4148W","D_SOD-123",135.576101,-78.623361,-97.000000,top
"D12","1N4148W","D_SOD-123",132.818682,-78.284793,-97.000000,top
"D13","1N4148W","D_SOD-123",130.061264,-77.946225,-97.000000,top
"D14","1N4148W","D_SOD-123",127.303846,-77.607656,-97.000000,top
"D15","1N4148W","D_SOD-123",124.546428,-77.269088,-97.000000,top
"D16","1N4148W","D_SOD-123",153.265427,-77.256901,-83.000000,top
"D17","1N4148W","D_SOD-123",150.508009,-77.595469,-83.000000,top
"D18","1N4148W","D_SOD-123",147.750590,-77.934038,-83.000000,top
"D19","1N4148W","D_SOD-123",144.993172,-78.272606,-83.000000,top
"D20","1N4148W","D_SOD-123",142.235754,-78.611175,-83.000000,top
"D21","1N4148W","D_SOD-123",134.596671,-86.600178,-97.000000,top
"D22","1N4148W","D_SOD-123",131.839253,-86.261610,-97.000000,top
"D23","1N4148W","D_SOD-123",129.081834,-85.923041,-97.000000,top
"D24","1N4148W","D_SOD-123",126.324416,-85.584473,-97.000000,top
"D25","1N4148W","D_SOD-123",123.566998,-85.245904,-97.000000,top
"D26","1N4148W","D_SOD-123",154.244857,-85.233717,-83.000000,top
"D27","1N4148W","D_SOD-123",151.487439,-85.572286,-83.000000,top
"D28","1N4148W","D_SOD-123",148.730020,-85.910854,-83.000000,top
"D29","1N4148W","D_SOD-123",145.972602,-86.249423,-83.000000,top
"D30","1N4148W","D_SOD-123",143.215184,-86.587991,-83.000000,top
"D31","1N4148W","D_SOD-123",128.102404,-93.899858,-97.000000,top
"D32","1N4148W","D_SOD-123",125.344986,-93.561289,-97.000000,top
"D33","1N4148W","D_SOD-123",122.587568,-93.222721,-97.000000,top
"D34","1N4148W","D_SOD-123",155.224287,-93.210534,-83.000000,top
"D35","1N4148W","D_SOD-123",152.466869,-93.549102,-83.000000,top
"D36","1N4148W","D_SOD-123",149.709450,-93.887671,-83.000000,top
"U2","74HC595D,118","SOIC-16_3.9x9.9mm_P1.27mm",116.681292,-50.899233,83.000000,top
